wkb_geometry;id;descr;fumetto;link
"POINT (664694.914686314 5102405.22097454)";9;Un tocco di colore per cambiare il volto ad un muro;Un tocco di colore per cambiare il volto ad un muro;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Un-tocco-di-colore-per-cambiare-il-volto-ad-un-muro
"POINT (664357.624175696 5102351.31917569)";11;Riqualificazione parco A. Langer;Riqualificazione parco A. Langer;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-valorizzazione-del-Parco-A.-Langer-Parco-del-Sale
"POINT (663387.759324497 5104363.27770492)";13;Riqualificazione Dos Trento;Riqualificazione Dos Trento;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-I-NUVOLA-hanno-a-cuore-il-Dos-Trento
"POINT (664079.035419963 5102082.10051437)";18;Casa del cane;Casa del cane;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Casa-del-cane
"POINT (659342.080121118 5104794.57700249)";19;Aspettando lo scuolabus;Aspettando lo scuolabus;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Aspettando-lo-scuolabus
"POINT (664050.428726708 5103906.00900621)";20;Shelly: una applicazione al servizio dei cittadini per i beni comuni;Shelly: una applicazione al servizio dei cittadini per i beni comuni;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Shelly-una-applicazione-al-servizio-dei-cittadini-per-i-beni-comuni
"POINT (664037.947388082 5104115.23033922)";10;Coderdojo Trento;Coderdojo Trento;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-la-proposta-Coderdojo-Trento
"POINT (664302.993133886 5104285.39648993)";22;Umore urbano;Umore urbano;"
http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Umore-Urbano "
"POINT (665684.919583731 5102763.99791686)";23;Ogni socio un albero;Ogni socio un albero;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Ogni-socio-un-albero
"POINT (663689.356249876 5103034.68489586)";26;Creato(ri) di bellezza;Creato(ri) di bellezza;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Creato-ri-di-bellezza
"POINT (664015.211522512 5103982.71341824)";24;Valorizzazione del patrimonio documentale della Biblioteca comunale;Valorizzazione del patrimonio documentale della Biblioteca comunale;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Valorizzazione-del-patrimonio-documentale-della-Biblioteca-comunale
