wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (664370.467787653 5102606.26354943,664389.583933506 5102600.83959109,664414.057891865 5102588.33802857)";Percorso ciclopedonale - passerella sul Fersina;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663405.352208647 5102997.22806951,663374.724365429 5102993.74656843)";Percorso ciclopedonale - passerella nord sull'Adigetto;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (665043.365509421 5103113.96271254,665043.318143764 5103124.47788843,665036.118563877 5103124.57261974,665028.066402162 5103125.85149249,665022.903545532 5103127.50929048,665016.276617889 5103131.31977043,665008.27726893 5103138.39119491,665004.629565805 5103141.97490325,665004.1467453 5103145.03458363,664997.752381585 5103150.86055946,664994.837364693 5103151.39105483,664955.004876005 5103188.61098821)";Percorso ciclopedonale - Piazza Vicenza;Ciclopedonale;;120;;;"14";2.1 PRO PED;;;;E
"LINESTRING (664662.773823065 5103679.49204039,664661.261770196 5103683.30504328,664615.509038914 5103700.2016067,664563.399461001 5103709.82131775,664554.771975601 5103712.08104344,664550.478764508 5103697.35735713)";Pista ciclabile - via Grazioli (tra via Brigata Acqui e via Paradisi);Ciclabile;120;;;;"15";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664234.057268545 5104309.8089879,664029.605276799 5104401.21209719)";Percorso ciclopedonale - via G.D. Romagnosi;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663521.526748457 5103559.55744703,663525.55762634 5103569.10082278,663530.133217452 5103573.15348919)";Pista ciclabile in via Sanseverino (lato est) nel tratto prossimo all'intersezione con via Verdi;Ciclabile;;;2020;;"15";1.3 PCCR marc;1057/2020;;NESSUNO;E
"LINESTRING (661685.757013878 5108175.12067727,661688.770498769 5108162.58394964,661678.600008103 5108160.34861735,661673.532848015 5108157.65758318,661668.751968157 5108153.42063576,661667.177426887 5108150.01390101,661667.23484771 5108146.80013884,661697.806342016 5108009.91975097,661726.099175791 5107896.16296048,661733.883992818 5107887.18312853,661742.140507506 5107881.84724113,661756.292978721 5107880.0750451,661759.880685421 5107868.30000773)";Percorso ciclopedonale - via Innsbruck: tratto dal civ.37 al civ.53;Ciclopedonale;;;;;"5";2.1 PRO PED;;;NESSUNO;E
"LINESTRING (661759.880685421 5107868.30000773,661748.952279015 5107862.15745439,661741.634097664 5107853.47392778,661740.833609421 5107840.59008012,661768.512991395 5107755.79332112,661824.535970723 5107656.71263415,661907.050007994 5107520.14759092,661926.698524547 5107487.02008675,661932.77798907 5107480.74651981,661940.085190131 5107477.89323485,661952.584232485 5107474.72211835,661965.295056531 5107474.20456105,661976.020028108 5107475.96261876,661985.605121206 5107479.74295662,661995.064921619 5107485.5619341,662000.032628997 5107489.54584604,662002.540875996 5107493.78835252,662004.332108168 5107499.40157522,662003.728527438 5107505.90867158)";Pista ciclabile - via Innsbruck: tratto dal civ.53 al civ.67;Ciclabile;;;;;"5";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664698.743562883 5102402.46981623,664706.953691272 5102400.86949107,664712.369343244 5102398.14000247,664714.752230112 5102394.1107574,664716.00527166 5102390.21051841,664714.77426689 5102385.25298443,664714.795555328 5102381.80639612,664716.485238743 5102380.03006228,664719.561329064 5102379.90008663,664721.684264637 5102380.93989181,664723.677224563 5102383.88600648,664723.720549779 5102386.52884464,664723.027346326 5102391.0779923,664719.388028201 5102396.36366862,664711.936091087 5102404.85541092,664676.322763716 5102419.84593558,664673.636600337 5102419.3693582,664668.113125778 5102407.89571722)";Sottopasso ciclopedonale in viale Verona all'altezza della piscina di via Fogazzaro;Ciclopedonale;;;2016;;"0";2.1 PRO PED;;;;E
"LINESTRING (664056.042075755 5102108.95538166,664017.160390337 5102102.2590914,664017.777970742 5102098.14107091)";Percorso ciclopedonale via S. Pio X: tratto tra via S. Pio X e via Degasperi;Ciclopedonale;;;;;"3";2.1 PRO PED;;;;E
