wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663614.487700692 5104820.55822549,663624.043599948 5104796.86409931,663634.125163781 5104771.83849309,663648.109198852 5104733.83055733,663659.328998963 5104695.80468327,663665.686724494 5104674.82559692,663677.474712751 5104633.08009415,663683.328531209 5104605.12941707,663689.166204999 5104572.90547264,663695.833059997 5104527.64910328,663698.093015888 5104505.66293039,663698.093015888 5104490.22503288,663700.857250849 5104443.01861628,663703.076248875 5104398.05385447,663702.141979528 5104351.82379889,663700.353343777 5104331.34825582,663697.26383468 5104291.56890237,663692.710815169 5104260.53062696,663685.881397501 5104221.41729718,663680.840615585 5104196.87922631,663672.059925098 5104160.21948704,663666.693943444 5104139.0939753,663652.547196906 5104092.83047232,663638.88836157 5104047.88310291,663621.489543266 5104001.83024533,663618.887796574 5104001.18022958,663615.310525072 5103991.75500127,663617.586997628 5103986.87988317,663612.383578643 5103969.9794267,663603.847290154 5103944.74317507,663593.11525245 5103914.40510495,663580.074155255 5103875.87752382,663563.195537489 5103825.43651851,663555.054229939 5103803.73379471,663546.977767261 5103776.64484666,663546.002093651 5103767.38209874,663543.780793295 5103751.18933389,663537.585630433 5103723.82421713,663529.130139682 5103699.77358745,663504.90182931 5103629.76807808,663493.812376933 5103596.39029214,663469.714265494 5103525.10075919,663455.079756549 5103476.41549321,663438.770517321 5103418.30485767,663426.087281196 5103367.00342662,663420.526373139 5103342.59553781,663416.461264832 5103322.77001048,663414.022155208 5103309.28216021,663410.330457443 5103288.70976921,663406.427911805 5103265.30915527,663402.232455765 5103237.79718939,663400.118620277 5103229.02197682,663395.061619293 5103208.44991539,663392.785146737 5103192.36195506,663390.67123685 5103175.62402606,663387.744364821 5103136.34793339,663379.884747611 5103065.72089609,663377.9378081 5103032.82270423,663374.724365429 5102993.74656843,663374.119750875 5102967.26464732,663373.258429129 5102932.08944856,663372.887667672 5102884.93791789,663373.354704271 5102839.47303945,663373.194850592 5102823.74339161,663370.292090681 5102796.76235471,663371.865507008 5102748.03690941,663370.94825598 5102707.63453506,663367.785642052 5102634.90888605,663366.816661681 5102579.22214083,663365.955116737 5102518.32224587,663366.238890844 5102497.10259557,663364.617470372 5102452.84066643,663363.218776258 5102364.60502758,663362.425378046 5102307.89835679,663361.755384658 5102269.37870952,663359.947154994 5102187.85151838,663359.043002963 5102152.96296138,663357.449338031 5102123.03468384,663358.984295622 5102093.83576044,663356.597188062 5102069.52513458,663348.695468651 5102053.81902898,663345.923783298 5102037.47258441,663342.710750559 5102017.65323738,663334.395568849 5101961.03806251,663333.166217081 5101945.19037861,663331.409915081 5101917.72158319,663332.203432108 5101897.79858716,663332.463815545 5101882.29534838,663335.201825715 5101841.5556574,663338.610499988 5101816.78228795,663343.215447163 5101799.14703721,663353.459722463 5101757.33251102,663363.202557191 5101728.05922533,663373.017703026 5101703.82639551,663387.664981793 5101670.56136077,663408.584786345 5101633.57285473,663420.591398207 5101616.2543781,663435.388693018 5101592.69104836,663441.339290223 5101581.3215294,663465.810184532 5101551.01444399,663487.261096664 5101525.58754392,663501.251973773 5101506.58114699,663508.476266895 5101495.69326554,663527.885763917 5101468.44073939,663544.254277808 5101446.44613017,663566.054762906 5101419.53829653,663599.850959361 5101379.27788818,663610.178742723 5101367.35235486)";Percorso ciclopedonale - lungo Adige (tratto tra ponte S.Giorgio al ponte di Ravina);Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;COMUNE;"1";2.1 PRO PED;;;;E
"LINESTRING (664291.144588236 5103124.10776471,664294.519549436 5103113.14711542,664298.573194373 5103105.57080855,664300.722826792 5103101.63855413,664300.906579828 5103098.14640028,664299.421698175 5103093.93418498,664354.089585967 5103025.23568076,664356.938134444 5103024.175051,664361.271564574 5103018.05370215,664360.511017062 5103014.23764879,664372.21617119 5102999.07921097,664380.57691392 5102987.75028669,664395.608335475 5102969.22342156,664409.717111532 5102950.39989757,664439.414383265 5102911.63788585,664462.249518832 5102881.46800395,664488.5855043 5102846.88906132,664514.820448965 5102810.92786342,664518.927656293 5102809.20750479,664522.032731279 5102808.56417426,664529.726034579 5102799.6328341,664528.441091694 5102798.51105857,664526.704397835 5102795.07474516,664527.184759578 5102792.34037832,664519.092511744 5102785.63378936)";Pista ciclabile - corso 3 Novembre;Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664762.729116179 5102124.79629631,664761.770001594 5102155.98405677,664762.414753735 5102169.91490789,664760.738726446 5102174.27550809,664758.727484831 5102191.04705833,664756.716243215 5102210.83750768,664751.567386237 5102241.8740943,664744.604860413 5102272.71215857,664733.459584899 5102322.07624444,664727.208803642 5102342.08535904,664711.333803626 5102375.09212991,664698.743562883 5102402.46981623,664694.757643033 5102412.78121758,664681.846728736 5102446.31493458,664681.792572216 5102450.214204,664682.669907835 5102452.90036738,664684.735239984 5102456.49808844,664690.463809495 5102460.22998783,664686.240590894 5102471.39987531,664679.865637611 5102472.04542719,664674.209297885 5102474.33697755,664671.943959836 5102476.69213001,664662.459568823 5102473.24554695)";Percorso ciclopedonale - viale Verona (dall'intersezione via Einaudi a via Fogazzaro);Ciclopedonale;;;;;"4";2.1 PRO PED;184/2019;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664246.663424126 5101908.93340613,664243.942628417 5101910.8861476,664234.944402871 5101921.23228803,664226.355664046 5101928.55200755,664207.384935415 5101947.22270465,664191.307971083 5101962.78226236,664179.106545412 5101974.82365574,664167.057564092 5101987.57490625,664160.457519746 5101997.38418342,664155.888281168 5102008.71562552,664153.01133113 5102020.72354352,664151.640745555 5102027.86020415,664150.11764123 5102043.75804689,664148.933054131 5102056.88105781,664145.886845479 5102067.36685796,664142.163751171 5102074.8084224,664133.422971572 5102082.85840695,664105.249606928 5102097.59331634,664101.589030548 5102099.22750222,664099.998422954 5102100.01191145,664087.360718782 5102103.62890954,664077.089861365 5102105.12335945,664066.876032758 5102104.30521835,664040.655061659 5102101.56253467,664017.777970742 5102098.14107091)";Pista ciclabile - via A. Degasperi: tratto da via S.Pio X alla rotatoria di via Gandhi;Ciclabile;;;;;"3";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664363.956409467 5103009.77578814,664351.766498809 5103001.67957595,664347.826826442 5103007.10502507,664346.564093719 5103007.7358945,664345.402412678 5103007.91253421,664343.670585236 5103007.76181039,664287.802228474 5102989.18350093,664202.534036422 5102960.84708243,664173.757626086 5102951.88909182,664136.335114871 5102940.33201929,664136.895112127 5102938.51871376,664129.189846643 5102936.0951555,664128.553625627 5102938.12001675,664087.780083334 5102924.92701268,664040.752321507 5102910.26088779,664042.077109695 5102905.76657947,664031.625939837 5102902.68588598,664029.74 5102908.575,663987.736900651 5102895.71810685,663926.03 5102876.83,663919.91 5102874.38,663916.405566925 5102872.035289,663913.86005552 5102858.76226524,663896.876259599 5102855.55261643)";Pista ciclabile - via Perini;Ciclabile;;;2023;;"8";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664042.462966215 5103504.33557535,664044.482079391 5103516.81896203,664044.95613205 5103557.49970315,664043.516416568 5103572.91519331)";"Pista ciclabile in via Mons. C. Endrici, tratto tra via Prati e via Borsieri";Ciclopedonale;;;;;"11";2.1 PRO PED;;;PROGETTAZIONE;E
"LINESTRING (664446.649913495 5102328.62209285,664441.84205075 5102332.58150923,664435.054479816 5102332.86432468,664414.408951557 5102330.88461649,664407.055749712 5102330.88461649,664399.985363322 5102331.73306286,664397.440024222 5102334.27840196,664397.157208766 5102339.08626471,664398.571286044 5102341.63160381,664402.247886967 5102344.45975836,664409.601088812 5102345.87383564,664422.327784314 5102346.72228201,664442.124866206 5102348.98480565,664440.427973472 5102367.08499481)";Percorso ciclopedonale tra via Gramsci e il parco del Sale;Ciclopedonale;;265;2017;;"0";2.1 PRO PED;;;;E
"LINESTRING (664176.75985442 5102740.43545665,664180.667310712 5102741.79648075,664184.298263093 5102746.43933789,664186.989770526 5102750.64013118)";Pista ciclabile - via V. Veneto: tratto nord rotatoria via Mattioli;Ciclopedonale;;;;;"11";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (664059.476944552 5104245.29323641,664070.485989596 5104268.42171372,664110.468120313 5104359.96585337)";Pista ciclabile - via C. Vannetti;Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664167.959224841 5104747.21129102,664199.665191413 5104819.04804683,664199.885448215 5104822.61620701,664199.422908932 5104824.90687775,664086.497246815 5105087.18867694)";Pista ciclabile - via del Brennero (tratto dall'ingresso dello scalo ex Filzi al civ.1 di via Secondo da Trento);Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664008.035279058 5105304.18130385,664101.451650984 5105344.0127588)";Percorso ciclopedonale - Via Solteri;Ciclopedonale;;;2015;;"0";2.1 PRO PED;;;;E
"LINESTRING (664572.322135454 5103993.24078123,664570.548409155 5104004.35732251,664573.843489622 5104012.55536458,664570.701562536 5104014.90354166,664570.172395868 5104017.48322917,664555.02500002 5104019.99677084,664549.462787346 5104018.75669947,664545.309968365 5104018.10099121,664538.971455184 5104018.10099121,664538.971455184 5104018.10099121)";Pista ciclabile - collegamento via Venezia - port'Aquila;Ciclabile;15;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664110.468120313 5104359.96585337,664113.127559258 5104366.05497483,664132.801871879 5104412.89766886,664155.173712344 5104465.63602655,664166.359595702 5104491.41964159,664182.352566673 5104525.83919094,664210.333647028 5104593.65286462,664213.596018118 5104603.81004206,664213.952528628 5104608.08548081)";Pista ciclabile - via C. Vannetti;Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663772.906328714 5104341.33490535,663778.727162053 5104345.43594702,663896.753020654 5104746.2424775,663898.401830475 5104745.73838531,663900.456278396 5104751.7156746,663899.115915369 5104754.59546447,663896.698560982 5104756.83488383)";Percorso ciclopedonale - corso Buonarroti (tratto a nord civ.48);Ciclopedonale;;;;;"5";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (663702.845593934 5104386.64045343,663711.658208153 5104386.80183039,663712.202804879 5104391.86657995,663714.993269945 5104394.43027495,663786.76687501 5104372.60624999)";Percorso ciclopedonale - via Lampi;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664337.249580882 5104521.64905882,664350.329147059 5104468.785,664354.227676471 5104452.66458088,664356.021 5104445.14041912,664357.950772059 5104433.3668603,664359.510183824 5104413.99116912,664360.231411765 5104398.2411103,664359.393227941 5104383.75807353,664358.418595588 5104371.32176471)";"Corsia ciclabile per doppio senso ciclabile in via S. Martino, tratto tra Largo N.Sauro e via Torre d'Augusto";Corsia ciclabile per doppio senso ciclabile;;;2022;;"0";3.5 CCDS 12-ter;1058/2022;Mono;;E
"LINESTRING (663719.421713264 5105077.66520137,663709.72092515 5105076.83568134,663703.357401308 5105070.13276387,663650.398118514 5104918.05585587,663639.908738248 5104920.23727623,663623.501344935 5104875.24962929,663611.320457476 5104876.80556726,663601.022919268 5104878.13271244)";Percorso ciclopedonale - via G. Pedrotti;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663458.482097536 5103918.33586935,663476.024593126 5103982.81331962,663482.968912676 5104008.54564483,663482.713293551 5104022.26387118,663476.919260062 5104037.00457403,663471.806877571 5104047.65537089,663464.692145271 5104054.30146812,663443.711142303 5104068.161329)";Pista ciclabile Lungadige San Nicolo fino Italcementi - lato ovest;Ciclabile;170;;2018;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663717.712469789 5105110.05263487,663713.66824892 5105113.37315305,663674.69046804 5105182.21030676,663627.004623815 5105254.19236059)";Pista ciclabile - via E. Maccani;Ciclabile;;;;;"5";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664104.428492673 5106279.38113852,664107.021281213 5106279.05703995,664108.965872618 5106275.97810356,664128.735885237 5106236.16799618,664134.858365099 5106200.8460249,664140.295400812 5106185.82468536,664150.882620685 5106163.56991706,664168.273 5106130.782,664172.273126141 5106125.21825323,664176.378374663 5106123.11161255,664180.537639613 5106124.08390825,664184.534855279 5106126.24456536,664187.12764382 5106126.83874607,664188.42403809 5106126.46063108,664191.340925197 5106120.76864999,664212.4339266 5106080.376739,664232.42041863 5106043.83575253,664260.130846153 5105985.43724189,664273.256838138 5105943.75006364,664279.009587713 5105920.38795856,664282.844754095 5105879.60555548,664284.7893455 5105848.49209299,664287.436150468 5105815.16395697,664292.459678265 5105742.07972999,664316.402459939 5105610.1311007,664381.54627201 5105282.46744894,664390.783081184 5105247.9509515,664401.478333913 5105217.80978472,664408.041329905 5105186.69632223,664416.305843377 5105165.5488907,664423.35498722 5105155.82593368,664431.011815878 5105137.47385229,664463.968133637 5105090.63916259,664475.980492121 5105068.8054683,664488.255725366 5105042.43194737,664501.017106462 5105024.07986598,664521.435316216 5104989.19875765,664536.4693104 5104957.24143309,664547.444226262 5104937.01888827,664553.764148328 5104927.45798053,664564.135302489 5104912.71149571,664582.608920838 5104893.91377879,664600.110243484 5104881.11188537,664621.014601089 5104869.84946015,664645.64609222 5104859.72137992,664680.648737513 5104852.91531,664725.495876791 5104844.93438278,664781.524416651 5104835.69757361,664809.964065951 5104830.47148421,664829.65305393 5104826.0151289,664834.919655652 5104822.04492144,664837.755518118 5104816.45422115,664839.213961672 5104809.56712659,664850.395362251 5104809.24302803,664855.256840764 5104815.31987617,664861.657787472 5104816.21114723,664889.59739033 5104804.38273301,664934.174841955 5104776.02292485,664964.153959451 5104755.11856725,665012.120547444 5104721.1692423,665015.928705612 5104714.44419703,665017.468173808 5104707.39505318)";"Percorso promiscuo pedonale e ciclabile – Valsugana (tratto Ponte Alto- Centochiavi):  tratto tra via Bassano,4 all’intersezione con via degli Olivi";Ciclopedonale;;;2023;PAT;"2";2.1 PRO PED;;;;E
"LINESTRING (665238.584421499 5104518.93173617,665243.162313763 5104536.55459579,665248.955575659 5104544.85962157,665257.868286266 5104548.5867551,665265.970750454 5104548.91085367,665272.412209481 5104544.73808462,665309.237909218 5104521.20042614,665345.374899497 5104496.40688573,665355.259905806 5104487.6562244,665363.362369994 5104480.36400663,665372.113031317 5104474.04408457,665382.16008691 5104469.99285247,665391.558945368 5104465.7795711,665399.175261705 5104460.10784617,665406.143380907 5104451.35718484,665414.407894378 5104447.06287882,665422.67240785 5104442.93062209,665433.084074329 5104433.89637453,665471.084631374 5104398.32655673,665499.645817636 5104367.86129138,665536.633566652 5104327.67306902,665578.948685877 5104283.23105294,665602.162245775 5104262.7520747,665637.28642803 5104241.38182541,665674.841349542 5104221.00412797,665699.979244682 5104209.53914116,665741.787959893 5104198.84388843,665782.381305474 5104197.14237096,665809.139693458 5104201.49744544,665835.61449519 5104208.56684546,665886.254896367 5104220.94335949,665920.40678292 5104231.27400133,665945.564934223 5104239.05236695,665969.264641973 5104248.28917613,665987.252112471 5104257.16137441,666000.256567492 5104266.70202599,666018.851722804 5104281.83337787,666044.860632848 5104308.96650481,666091.328264963 5104374.8294106,666231.824993983 5104589.22061301,666257.246475376 5104624.53722877,666279.487739572 5104645.32004942,666287.266105192 5104651.88304541)";Percorso promiscuo pedonale e ciclabile – Valsugana (tratto Ponte Alto- Centochiavi): dall'intersezione con via delle Laste a Ponte Alto;Ciclopedonale;;;2023;PAT;"2";2.1 PRO PED;;;;E
"LINESTRING (663465.054272364 5104086.14735072,663464.330018178 5104084.44322323,663473.958338536 5104075.62436343,663481.371293147 5104073.53680725,663492.405518691 5104068.46702794,663493.087169689 5104066.42207495,663479.709768838 5104066.37947176,663472.680242913 5104070.85280644,663460.879159996 5104072.13090206,663470.25186123 5104065.14397932,663481.030467648 5104060.45762871,663480.348816649 5104052.61864222,663474.853005471 5104047.5914661)";Pista ciclopedonale lato nord rotatoria Piedicastello;Ciclopedonale;;110;2018;;"0";2.1 PRO PED;;;;E
"LINESTRING (663882.817228916 5104843.17622813,663879.227217242 5104848.90917168,663877.746099643 5104854.74663067,663852.601543705 5104896.27810119,663828.482961915 5104935.7288683,663804.134026364 5104975.47513295,663765.768592263 5105038.81046932,663729.759990905 5105093.27976094,663723.374379006 5105105.19956982,663717.712469789 5105110.05263487)";Pista ciclabile - corso degli Alpini;Ciclabile;;;;;"5";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663240.136315243 5104851.03750363,663289.041845197 5104943.20340224,663337.368993536 5104936.83025911,663340.184588233 5104930.61179412,663340.252691175 5104902.75769118,663341.546647057 5104888.79658824,663346.007389704 5104873.57558089,663349.174176469 5104865.09676471,663363.339588234 5104837.31076471,663375.257602939 5104820.25097795,663386.937257351 5104803.90627207)";Percorso ciclopedonale localita di Centa (tratto tra localita i Laghetti e civ.5 di localita di Centa);Ciclopedonale;300;;2019;;"0";2.1 PRO PED;;;;E
"LINESTRING (663515.304731931 5104023.84018911,663510.874000439 5104021.71002974,663507.72136457 5104017.27929825,663501.416092831 5104012.93377313,663498.689488836 5104009.26989901,663494.769995592 5103996.33983163,663477.217482373 5103931.30606603,663474.320465628 5103917.67304605,663469.891665589 5103915.26385443,663458.482097536 5103918.33586935)";Pista ciclabile Lungadige San Nicolo fino Italcementi - lato est;Ciclabile;120;;2018;;"1";1.3 PCCR marc;;;;E
"LINESTRING (664248.937708405 5104498.87874999,664225.257500047 5104493.45479165)";Pista ciclabile contigua al marciapiede in via Aconcio (lato sud) per un tratto di lunghezza pari a circa 25.00 metri che a partire dall'intersezione con via Petrarca si sviluppa in direzione ovest ;Ciclabile;;;2021;;"0";1.3 PCCR marc;393/2021;;;E
"LINESTRING (664225.257500047 5104493.45479165,664176.41707031 5104481.95368487)";Percorso ciclopedonale in via Aconcio (lato sud) per un tratto di lunghezza pari a circa 50.00 metri che a partire dall'intersezione con via Vannetti si sviluppa in direzione est ;Ciclopedonale;;;2021;;"0";2.1 PRO PED;393/2021;;;E
"LINESTRING (664312.437708469 5104511.44645834,664261.50541675 5104500.73083332)";Percorso ciclopedonale in via Aconcio (lato sud) lungo il tratto di marciapiede compreso tra via Petrarca e largo Nazario Sauro ed in continuità sul marciapiede di largo Nazario Sauro (lato sud) nel tratto compreso tra via Aconcio e via Manzoni ;Ciclopedonale;;;2021;;"0";2.1 PRO PED;393/2021;;;E
"LINESTRING (664075.220796494 5103988.43986753,664064.961915555 5104036.16735301,664062.173974493 5104038.71286441,664058.537529629 5104050.28888057,664059.204211187 5104051.6828511,664060.328884787 5104055.79233003,664051.308008732 5104094.01699401,664048.060460903 5104106.88997034,664044.091219391 5104114.10220103,664037.054964092 5104147.54784862,664035.21648496 5104156.87595694,664032.183716097 5104162.69344906,664028.809592864 5104166.38238286,664024.688288684 5104169.56427211,664022.688244009 5104171.77644274,664022.722768834 5104175.24871378,664024.096937409 5104178.99757637,664029.158482553 5104192.72260032,664046.567565284 5104225.71704155,664059.476944552 5104245.29323641)";Pista ciclabile - via V. Alfieri;Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664167.959224841 5104747.21129102,664174.555916046 5104734.87691014,664174.921857245 5104720.87319847,664227.427708362 5104686.09947919,664233.843854202 5104676.64062501,664239.450661623 5104666.48446281,664238.72337265 5104661.27222517,664213.952528628 5104608.08548081)";Pista ciclabile - giardino di piazza Centa;Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (662518.120862904 5107341.44701843,662546.989243808 5107339.67834519)";Pista ciclabile nel nuovo parco a Roncafort;Ciclopedonale;;30;2020;;"0";2.1 PRO PED;1003/2020;;;E
"LINESTRING (666280.861364738 5104502.04390763,666278.650327659 5104500.00295033,666278.395207996 5104497.87695314,666291.959070074 5104477.46738011,666292.851988894 5104474.02326466,666292.639389175 5104471.38702814,666283.837760805 5104436.56319415,666280.861364738 5104429.76000314,666277.842448727 5104425.08280932,666276.002357226 5104422.65388854)";Corsia ciclabile  per doppio senso ciclabile iin via Ponte Alto: tratto da via Valsugana al parcheggio in via Ponte Alto;Corsia ciclabile per doppio senso ciclabile;130;;2023;;"0";3.5 CCDS 12-ter;;Mono;;E
"LINESTRING (666266.78 5104413.9,666275.11 5104418.94,666273.277935567 5104421.64339325,666276.614979684 5104424.98043737,666278.930479684 5104428.58989325,666282.403729683 5104436.96655501,666290.661211299 5104471.22233442,666290.899571593 5104473.75916898,666290.797417182 5104475.78523148,666275.542358361 5104498.39540794,666276.734159832 5104501.25573147,666279.526380419 5104503.23071676)";Pista ciclabile monodirezionale in via Ponte Alto: tratto da Villa Madruzzo all'intersezione con strada della Valsugana;Ciclabile;130;;2023;;"0";1.3 PCCR marc;;Mono;;E
"LINESTRING (666141.77432267 5102169.88916641,666158.329366359 5102185.52212077,666168.372710108 5102196.98334834,666177.175405512 5102208.32641893,666187.573220218 5102225.4591818,666197.262093012 5102245.78218327,666201.870215438 5102257.95235275,666204.172528226 5102266.70168549,666207.896221688 5102279.69323805,666210.761528581 5102295.99890202,666214.778866081 5102342.52321497,666218.028183176 5102379.2700374,666226.653643102 5102378.73833096,666230.582362863 5102400.62691249,666233.654444481 5102416.93257646,666234.954171319 5102435.01059521,666234.717857348 5102447.29892168,666234.657048504 5102476.2385396,666234.789340171 5102481.9711785,666237.214687395 5102486.64548406,666240.830659621 5102488.93853962,666245.086041571 5102489.68819239)";Percorso ciclopedonale su via Castel di Pietrapiana (tratto dal civ.44 all'intersezione con via alla Cros);Ciclopedonale;;360;2022;;"10";2.1 PRO PED;;;;E
"LINESTRING (666268.480924331 5102666.32331225,666285.048820561 5102709.50831047,666298.117013478 5102743.57116794,666310.035322852 5102772.5189927,666320.402452083 5102797.48062425,666326.268615373 5102813.97875699,666329.26402924 5102826.44985917,666331.202238213 5102835.33821143,666332.881399672 5102848.02632714,666334.104290555 5102861.34051638,666335.197937424 5102881.8129357,666335.520314102 5102900.3147855,666336.053719606 5102930.92800663,666336.842447035 5102976.1946696,666337.583146209 5103018.70489383,666338.26549863 5103057.86647984,666338.849422885 5103091.37907426)";Pista ciclabile via Castel di Pietrapiana: tratto dal civ.21 al civ.5;Ciclabile;;;2024;;"10";1.3 PCCR marc;;;;E
"LINESTRING (666246.72159664 5102598.9423903,666256.222428671 5102634.37096863,666262.281317582 5102650.16374662,666268.480924331 5102666.32331225)";Pista ciclabile via Castel di Pietrapiana: tratto all'altezza del civ.21;Ciclopedonale;;;2024;;"10";2.1 PRO PED;;;;E
"LINESTRING (666338.849422885 5103091.37907426,666339.112584697 5103106.48246308,666339.26248928 5103115.08579041,666339.597011955 5103125.43560564,666339.209586392 5103135.46693418,666338.643622879 5103144.63877018,666337.904046961 5103150.94569076,666337.51443455 5103162.23730041,666338.493808178 5103166.31802386,666339.427571474 5103168.57849614,666341.76808602 5103170.62644637)";Pista ciclabile via Castel di Pietrapiana: tratto dal civ.5 all'intersezione con via Salè;Ciclopedonale;;;2024;;"10";2.1 PRO PED;;;;E
"LINESTRING (666463.615787812 5103322.19549773,666504.815052593 5103320.91800115,666511.362222578 5103319.00175628,666515.194712325 5103314.84989239,666517.909392562 5103309.58021898,666518.548140854 5103305.26866802,666510.563787214 5103265.34689982,666505.134426739 5103258.79972984,666498.108195536 5103253.84943058,666490.762590187 5103251.61381156,666482.778236547 5103252.89130814,666474.793882908 5103251.9331857,666471.440454379 5103251.13475034,666461.859230011 5103254.64786594,666453.874876372 5103255.60598838)";Percorso ciclopedonale via Salé civ. 19/A;Ciclopedonale;;170;2024;;"0";2.1 PRO PED;;;;E
"LINESTRING (666245.086041571 5102489.68819239,666245.615208238 5102497.97847018,666239.706180454 5102501.24166463,666237.189314101 5102503.6499648,666236.531180451 5102508.56180353,666241.773112785 5102570.73093079,666246.72159664 5102598.9423903)";Pista ciclabile via Castel di Pietrapiana: tratto dal civ.34 al civ.14;Ciclabile;;;2024;;"10";1.3 PCCR marc;;;;E
"LINESTRING (666517.909392562 5103309.58021898,666521.416250001 5103304.9221875,666529.54490625 5103301.0969375)";Percorso ciclopedonale via Salé civ. 19/A: tratto sul ponte;Ciclopedonale;;15;2024;;"0";2.1 PRO PED;;;;E
"LINESTRING (666501.444031251 5103224.518375,666497.913031251 5103233.345875,666501.002656251 5103239.819375,666511.595656251 5103251.295125,666522.33578125 5103263.359375,666525.57253125 5103272.775375,666527.48515625 5103283.662625,666529.54490625 5103301.0969375,666532.63453125 5103311.027875,666537.875859375 5103330.39320312,666539.47584375 5103332.74720312,666549.701031249 5103337.7310625,666556.174531249 5103340.89425,666563.825031248 5103346.5585625,666566.105468748 5103350.6780625,666576.477781247 5103365.6848125,666585.011031246 5103371.42268749,666602.518906244 5103373.62956249,666616.091187493 5103375.10081249)";Percorso ciclopedonale via dei Rivi: tratto lungo torrente;Ciclopedonale;;215;2024;;"0";2.1 PRO PED;;;;E
"LINESTRING (663435.312225245 5102039.78783542,663489.863095585 5102053.36276634)";Pista ciclabile via del Maso Smalz: tratto compreso tra i passi carrai del civ.17;Ciclabile;;;2023;;"6";1.1 PCSP;;;;E
"LINESTRING (663426.467250823 5101209.47915277,663415.697875658 5101206.00222077,663409.901203503 5101206.52497037,663405.788850301 5101212.57249555,663393.062864178 5101208.71176768,663393.718903373 5101201.71401628,663389.164914306 5101195.22990245,663339.705009695 5101181.37680125,663319.367794666 5101166.50657951,663304.969999719 5101145.04333315,663303.513514134 5101129.87772448,663302.857474939 5101115.7728818,663307.777768897 5101016.8203033,663312.58872299 5101005.44895727,663321.773271713 5100994.95233015,663340.579728621 5100987.40787942,663363.103740964 5100983.69032398,663392.51616485 5100978.98870975,663403.996850753 5100973.4123766,663409.46384404 5100964.11848801,663415.040177193 5100956.46469741,663413.290739341 5100943.23457366,663424.006046184 5100938.97031889)";Percorso ciclabile Ravina-Romagnano-Mattarello: tratto da via di Costa San Nicolò a via della Croce;Ciclabile;;;2022;;"13";1.3 PCCR marc;;;;E
"LINESTRING (665873.393050589 5101444.17094353,665879.286164399 5101420.64124318,665858.508283309 5101373.27908581,665856.893664486 5101353.29817787,665841.352958309 5101320.19849198,665835.399051397 5101304.10276059,665829.192860294 5101281.34672654,665821.069309338 5101248.60023853,665828.234180368 5101231.94948191,665828.234180368 5101231.94948191)";Percorso ciclopedonale - via dei Tessadri via delle Tabarelle;Ciclopedonale;;380;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664340.507137572 5100721.85496209,664357.32450671 5100720.83572215,664365.21608 5100715.91436,664373.02152 5100722.98804,664381.266016 5100729.037256,664385.802928 5100739.33068,664385.802928 5100746.745848,664391.0716 5100754.94156,664403.853008 5100764.893496,664426.488784 5100774.260024,664447.221984 5100778.260312,664615.282864 5100785.333992,664669.433104 5100778.52862399,664684.287832 5100776.99192799)";Pista ciclabile  via Fersina - ferrovia del Brennero;Ciclabile;;;2018;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664608.534909307 5101532.98620358,664656.479606575 5101584.38451236,664691.710221846 5101624.02494024,664737.090756712 5101674.12813751,664760.970217114 5101701.49460332,664785.403352793 5101729.84545531,664838.272799588 5101789.05847168,664846.718247729 5101792.22635964,664852.932120442 5101791.83690105,664858.297544432 5101790.35959566,664864.652327322 5101786.10048014,664871.082416784 5101772.30713046,664874.051825921 5101761.05321358,664883.515891817 5101762.94643028)";Percorso ciclopedonale - via E. Fermi;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
